C This is dla.cc ver.2.0.5

I N_PROC = 1
P D       =            2
P L       =            8      8
P BETA    =      10.0000000000000000
P NSET    =            4
P NPRE    =         1000
P NTHERM  =          100
P NDECOR  =          100
P NMCS    =          100
P SEED    =    198212240
P NSEGMAX =       100000
P NVERMAX =       100000
P BETA    = 10.000000000000
P NTAU    =           10
P NCYC    =            6
P ALGFILE = algorithm.xml
P LATFILE = lattice.xml
P WVFILE = wv.xml
P DISPFILE  = disp.xml
P OUTFILE    = res_1.dat
P CFOUTFILE  = cf_1.dat
P SFOUTFILE  = sf_1.dat
P CKOUTFILE  = ck_1.dat
P SIMULATIONTIME   =     0.000000
R C0t0 = 1.69042969e+00 9.47674284e-03
R C0t1 = 1.69042969e+00 9.47674284e-03
R C0t2 = 1.69042969e+00 9.47674284e-03
R C0t3 = 1.69042969e+00 9.47674284e-03
R C0t4 = 1.69042969e+00 9.47674284e-03
R C0t5 = 1.69042969e+00 9.47674284e-03
R C0t6 = 1.69042969e+00 9.47674284e-03
R C0t7 = 1.69042969e+00 9.47674284e-03
R C0t8 = 1.69042969e+00 9.47674284e-03
R C0t9 = 1.69042969e+00 9.47674284e-03

R C1t0 = 1.49007813e-01 2.22637974e-03
R C1t1 = 5.74218750e-03 1.21462811e-03
R C1t2 = -2.10937500e-04 2.18822068e-03
R C1t3 = 6.79687500e-04 1.30456274e-03
R C1t4 = -1.97656250e-03 2.38311986e-03
R C1t5 = -1.05468750e-03 4.86481266e-03
R C1t6 = -1.97656250e-03 2.38311986e-03
R C1t7 = 6.79687500e-04 1.30456274e-03
R C1t8 = -2.10937500e-04 2.18822068e-03
R C1t9 = 5.74218750e-03 1.21462811e-03

R C2t0 = 1.46117188e-01 2.11810981e-03
R C2t1 = 5.13281250e-03 1.49991184e-03
R C2t2 = 1.14843750e-03 2.07200206e-03
R C2t3 = -4.17968750e-03 1.08075427e-03
R C2t4 = 2.26562500e-04 1.69679994e-03
R C2t5 = 7.42187500e-04 2.26213362e-03
R C2t6 = 2.26562500e-04 1.69679994e-03
R C2t7 = -4.17968750e-03 1.08075427e-03
R C2t8 = 1.14843750e-03 2.07200206e-03
R C2t9 = 5.13281250e-03 1.49991184e-03

R C3t0 = 1.80257813e-01 2.47620101e-03
R C3t1 = 3.05468750e-03 2.07808094e-03
R C3t2 = -6.95312500e-04 1.84641293e-03
R C3t3 = -1.60156250e-03 2.95989290e-03
R C3t4 = -1.07031250e-03 3.77281202e-03
R C3t5 = -3.05468750e-03 5.57495643e-03
R C3t6 = -1.07031250e-03 3.77281202e-03
R C3t7 = -1.60156250e-03 2.95989290e-03
R C3t8 = -6.95312500e-04 1.84641293e-03
R C3t9 = 3.05468750e-03 2.07808094e-03

