C This is dla.cc ver.2.0.5

I N_PROC = 1
P D       =            2
P L       =            8      8
P BETA    =      10.0000000000000000
P NSET    =            4
P NPRE    =         1000
P NTHERM  =          100
P NDECOR  =          100
P NMCS    =          100
P SEED    =    198212240
P NSEGMAX =       100000
P NVERMAX =       100000
P BETA    = 10.000000000000
P NTAU    =           10
P NCYC    =            6
P ALGFILE = algorithm.xml
P LATFILE = lattice.xml
P WVFILE = wv.xml
P DISPFILE  = disp.xml
P OUTFILE    = res_1.dat
P CFOUTFILE  = cf_1.dat
P SFOUTFILE  = sf_1.dat
P CKOUTFILE  = ck_1.dat
P SIMULATIONTIME   =     0.000000
R C0t0 = 6.95979167e+00 7.11938334e-02
R C0t1 = 6.05854167e+00 1.39190939e-01
R C0t2 = 5.59062500e+00 1.84408268e-01
R C0t3 = 5.17187500e+00 1.71940981e-01
R C0t4 = 4.97312500e+00 2.67447722e-01
R C0t5 = 4.90020833e+00 2.35059187e-01
R C0t6 = 5.05937500e+00 1.67221775e-01
R C0t7 = 5.10020833e+00 5.19931163e-02
R C0t8 = 5.61354167e+00 1.08556594e-01
R C0t9 = 6.10229167e+00 1.12091530e-01

R C1t0 = 3.44791667e-01 3.01546458e-02
R C1t1 = 1.31250000e-02 3.25824719e-02
R C1t2 = 2.43750000e-02 3.60512993e-02
R C1t3 = -4.10416667e-02 7.51074654e-02
R C1t4 = -1.64583333e-02 2.14313476e-02
R C1t5 = -2.39583333e-02 3.06438906e-02
R C1t6 = -3.18750000e-02 4.39833394e-02
R C1t7 = 5.62500000e-03 4.12834811e-02
R C1t8 = -3.31250000e-02 3.87692231e-02
R C1t9 = 9.79166667e-03 2.94478018e-02

R C2t0 = 3.37291667e-01 3.82295924e-02
R C2t1 = -3.85416667e-02 7.42293547e-02
R C2t2 = -2.52083333e-02 2.72640870e-02
R C2t3 = 4.14583333e-02 6.44387944e-02
R C2t4 = 4.47916667e-02 2.82932212e-02
R C2t5 = -9.97916667e-02 1.27583261e-02
R C2t6 = -5.62500000e-03 3.35537418e-02
R C2t7 = 1.35416667e-02 4.06918965e-02
R C2t8 = -5.62500000e-03 4.44714002e-02
R C2t9 = 5.64583333e-02 3.12368028e-02

R C3t0 = 4.20625000e-01 2.34554715e-02
R C3t1 = -5.22916667e-02 9.78575472e-03
R C3t2 = -8.47916667e-02 2.34283161e-02
R C3t3 = -5.62500000e-03 2.14124374e-02
R C3t4 = -5.62500000e-03 2.23797584e-02
R C3t5 = 7.02083333e-02 3.22827048e-02
R C3t6 = -7.70833333e-03 2.62055952e-02
R C3t7 = 1.81250000e-02 2.32149153e-02
R C3t8 = 1.35416667e-02 3.90132560e-02
R C3t9 = -2.60416667e-02 3.76591914e-02

