C This is dla.cc ver.2.0.5

I N_PROC = 1
P D       =            2
P L       =            8      8
P BETA    =      10.0000000000000000
P NSET    =            4
P NPRE    =         1000
P NTHERM  =          100
P NDECOR  =          100
P NMCS    =          100
P SEED    =    198212240
P NSEGMAX =       100000
P NVERMAX =       100000
P BETA    = 10.000000000000
P NTAU    =           10
P NCYC    =            8
P ALGFILE = algorithm.xml
P LATFILE = lattice.xml
P WVFILE = wv.xml
P DISPFILE  = disp.xml
P OUTFILE    = res_11.dat
P CFOUTFILE  = cf_11.dat
P SFOUTFILE  = sf_11.dat
P CKOUTFILE  = ck_11.dat
P SIMULATIONTIME   =     0.000000
R C0t0 = 5.00312500e-01 5.28177389e-03
R C0t1 = 1.09687500e-01 4.96406357e-03
R C0t2 = 9.01562500e-02 3.64769298e-03
R C0t3 = 7.82812500e-02 5.07992756e-03
R C0t4 = 7.18750000e-02 3.72386728e-03
R C0t5 = 6.87500000e-02 3.48919463e-03
R C0t6 = 7.21875000e-02 1.81321825e-03
R C0t7 = 8.31250000e-02 7.65465545e-04
R C0t8 = 8.90625000e-02 3.04587323e-03
R C0t9 = 1.06875000e-01 1.16452557e-02

R C1t0 = 1.39375000e-01 3.13539936e-03
R C1t1 = 1.03437500e-01 2.95914015e-03
R C1t2 = 8.43750000e-02 2.33853587e-03
R C1t3 = 8.46875000e-02 6.19507113e-03
R C1t4 = 7.39062500e-02 2.65625000e-03
R C1t5 = 8.29687500e-02 2.66847676e-03
R C1t6 = 7.67187500e-02 4.75558197e-03
R C1t7 = 8.67187500e-02 2.76434469e-03
R C1t8 = 9.31250000e-02 5.65961571e-03
R C1t9 = 1.09843750e-01 6.69448136e-03

R C2t0 = 1.12500000e-01 3.08305179e-03
R C2t1 = 1.09375000e-01 3.06186218e-03
R C2t2 = 9.31250000e-02 4.59279327e-03
R C2t3 = 8.39062500e-02 2.96875000e-03
R C2t4 = 8.12500000e-02 5.50804336e-03
R C2t5 = 8.14062500e-02 7.29928917e-03
R C2t6 = 7.85937500e-02 1.47405955e-03
R C2t7 = 9.09375000e-02 6.36610900e-03
R C2t8 = 9.20312500e-02 4.31789367e-03
R C2t9 = 9.65625000e-02 6.61683853e-03

R C3t0 = 1.04218750e-01 2.06305233e-03
R C3t1 = 9.96875000e-02 4.49609205e-03
R C3t2 = 8.67187500e-02 2.03125000e-03
R C3t3 = 8.43750000e-02 4.96734126e-03
R C3t4 = 8.28125000e-02 6.17401730e-03
R C3t5 = 8.10937500e-02 6.58663716e-03
R C3t6 = 8.89062500e-02 2.82260915e-03
R C3t7 = 8.01562500e-02 4.14872439e-03
R C3t8 = 8.56250000e-02 3.74130937e-03
R C3t9 = 8.90625000e-02 2.82405036e-03

R C4t0 = 1.03906250e-01 7.59649299e-03
R C4t1 = 1.00937500e-01 7.24164389e-03
R C4t2 = 8.68750000e-02 2.18004683e-03
R C4t3 = 8.35937500e-02 1.68044435e-03
R C4t4 = 7.53125000e-02 5.38552748e-03
R C4t5 = 6.92187500e-02 3.46461841e-03
R C4t6 = 7.81250000e-02 3.97747564e-03
R C4t7 = 8.46875000e-02 3.96518048e-03
R C4t8 = 9.03125000e-02 6.04076861e-03
R C4t9 = 8.46875000e-02 7.56267217e-03

R C5t0 = 1.02343750e-01 2.75254380e-03
R C5t1 = 9.75000000e-02 2.55155182e-03
R C5t2 = 9.14062500e-02 3.52977477e-03
R C5t3 = 8.28125000e-02 2.65778142e-03
R C5t4 = 7.34375000e-02 4.85800992e-03
R C5t5 = 7.96875000e-02 4.37127818e-03
R C5t6 = 8.50000000e-02 3.65326623e-03
R C5t7 = 7.92187500e-02 1.66096028e-03
R C5t8 = 8.64062500e-02 6.25195282e-03
R C5t9 = 8.67187500e-02 5.83728475e-03

R C6t0 = 1.20468750e-01 2.51783999e-03
R C6t1 = 9.01562500e-02 5.64449746e-03
R C6t2 = 8.73437500e-02 4.70050280e-03
R C6t3 = 8.32812500e-02 4.89056676e-03
R C6t4 = 7.60937500e-02 1.73758618e-03
R C6t5 = 7.89062500e-02 3.20090116e-03
R C6t6 = 7.45312500e-02 3.46461841e-03
R C6t7 = 8.76562500e-02 4.61665209e-03
R C6t8 = 8.60937500e-02 5.71897768e-03
R C6t9 = 1.01406250e-01 6.44172091e-03

R C7t0 = 1.42812500e-01 1.17440699e-02
R C7t1 = 1.07187500e-01 2.00097632e-03
R C7t2 = 8.45312500e-02 6.83880148e-03
R C7t3 = 7.70312500e-02 2.82260915e-03
R C7t4 = 7.78125000e-02 8.21861137e-03
R C7t5 = 7.40625000e-02 3.73695648e-03
R C7t6 = 7.62500000e-02 2.94259310e-03
R C7t7 = 8.62500000e-02 2.55155182e-03
R C7t8 = 8.79687500e-02 5.00244081e-03
R C7t9 = 1.05312500e-01 5.57559320e-03

R C8t0 = 1.31875000e-01 3.45167532e-03
R C8t1 = 1.08125000e-01 5.50213027e-03
R C8t2 = 8.15625000e-02 7.43679969e-03
R C8t3 = 8.18750000e-02 2.31052844e-03
R C8t4 = 7.26562500e-02 1.42921070e-03
R C8t5 = 7.20312500e-02 1.53888403e-03
R C8t6 = 7.78125000e-02 2.80090201e-03
R C8t7 = 9.07812500e-02 4.95010916e-03
R C8t8 = 8.54687500e-02 2.06305233e-03
R C8t9 = 1.06875000e-01 5.45459478e-03

R C9t0 = 1.23125000e-01 7.99169491e-03
R C9t1 = 1.01406250e-01 6.98480028e-03
R C9t2 = 8.78125000e-02 2.94811910e-03
R C9t3 = 7.87500000e-02 5.07110894e-03
R C9t4 = 7.42187500e-02 1.31039017e-03
R C9t5 = 8.00000000e-02 7.04801243e-03
R C9t6 = 7.62500000e-02 6.12903778e-03
R C9t7 = 7.60937500e-02 5.04778597e-03
R C9t8 = 9.45312500e-02 4.98288085e-03
R C9t9 = 1.02187500e-01 5.87688356e-03

R C10t0 = 1.00156250e-01 7.10493795e-03
R C10t1 = 9.85937500e-02 7.65199712e-03
R C10t2 = 8.23437500e-02 1.55989366e-03
R C10t3 = 7.78125000e-02 4.43779342e-03
R C10t4 = 7.76562500e-02 3.92288126e-03
R C10t5 = 6.95312500e-02 5.01543841e-03
R C10t6 = 7.85937500e-02 4.98288085e-03
R C10t7 = 8.53125000e-02 3.55847726e-03
R C10t8 = 9.51562500e-02 2.34375000e-03
R C10t9 = 9.95312500e-02 7.71554421e-03

R C11t0 = 1.02656250e-01 9.03326823e-03
R C11t1 = 9.92187500e-02 5.81493565e-03
R C11t2 = 8.70312500e-02 2.66847676e-03
